국가,치명(%),완치(%),발생률,인구수,확진자_합계,확진자1일,치료중_합계,치료중1일,위중증_합계,위중증1일,사망자합계,사망자1일,완치합계,완치1일
호주🇦🇺,3.0,96.4,1191,25499884,30352,21,170,+21,1,,910,,29272,
레위니옹🇷🇪,0.8,92.6,31767,895312,28441,,1888,,32,,220,,26333,
프랑스령 기아나🇬🇫,0.5,37.8,89215,298682,26450,,16318,,36,,137,,9995,
시리아🇸🇾,7.3,86.5,1438,17500658,25118,42,1535,+27,N/A,,1845,+4,21738,+11
가봉🇬🇦,0.6,97.6,11171,2225734,24864,,442,,17,,158,,24264,
기니🇬🇳,0.7,94.9,1792,13132795,23450,,1032,,24,,168,,22250,
모리타니🇲🇷,2.4,95.5,4380,4649658,20336,22,442,-20,16,,481,+1,19413,+41
수리남🇸🇷,2.3,76.5,34333,586632,20025,277,4242,+112,36,-3,460,+6,15323,+159
마요트🇾🇹,0.9,15.3,71070,272815,19389,,16251,,6,,174,,2964,
가이아나🇬🇾,2.3,89.4,24339,786552,19096,123,1576,+94,21,,447,+3,17073,+26
프랑스령 폴리네시아🇵🇫,0.7,99.1,67538,280908,18963,,34,,N/A,,142,,18787,
에스와티니🇸🇿,3.6,95.8,16231,1160164,18813,2,119,-10,10,,677,,18017,+12
아이티🇭🇹,2.2,72.9,1523,11402528,17371,132,4319,+98,N/A,,385,+12,12667,+22
파푸아뉴기니🇵🇬,1.0,96.4,1902,8947024,17013,80,444,-7,7,,173,,16396,+87
과들루프🇬🇵,1.4,13.4,41867,400124,16752,,14273,,23,,229,,2250,
소말리아🇸🇴,5.2,48.1,935,15893222,14852,,6927,,N/A,,775,,7150,
말리🇲🇱,3.6,69.8,710,20250833,14381,1,3824,-10,N/A,,524,,10033,+11
세이셸🇸🇨,0.4,88.5,148657,98347,14123,,1563,,N/A,,55,,12505,
대만🇹🇼,4.0,8.0,594,23816775,14080,75,12378,+55,N/A,,569,+20,1133,
안도라🇦🇩,0.9,98.6,179434,77265,13864,22,72,+7,3,,127,,13665,+15
토고🇹🇬,0.9,97.3,1659,8278724,13721,6,238,+3,N/A,,128,+1,13355,+2
베트남🇻🇳,0.5,40.4,140,97338579,13483,366,7963,-36,N/A,,67,+3,5453,+399
부르키나파소🇧🇫,1.2,98.7,644,20903273,13469,1,9,-2,N/A,,167,,13293,+3
타지키스탄🇹🇯,0.7,99.3,1395,9537645,13308,,0,,N/A,,90,,13218,
벨리즈🇧🇿,2.5,96.5,32792,397628,13004,,125,,1,,328,,12551,
퀴라소🇨🇼,1.0,98.7,75073,164093,12318,1,33,-3,4,,125,,12160,+4
콩고공화국🇨🇬,1.3,91.2,2229,5518087,12298,,926,,N/A,,161,,11211,
바하마🇧🇸,2.0,91.3,31441,393244,12295,,824,,3,,241,,11230,
마르티니크🇲🇶,0.8,0.8,32452,375265,12178,,11982,,5,,98,,98,
홍콩🇭🇰,1.8,97.7,1587,7496981,11889,3,65,+1,N/A,,210,,11614,+2
