국가,ISO3,치명(%),완치(%),발생률,인구수,확진자_합계,확진자1일,치료중_합계,치료중1일,위중증_합계,위중증1일,사망자합계,사망자1일,완치합계,완치1일,Country,CPI score 2020
네팔🇳🇵,NPL,1.4,90.2,21548,29136808,626343,3703.0,52648.0,-1292.0,,,8813,41.0,564882.0,4954.0,Nepal,33
아랍에미레이트🇦🇪,ARE,0.3,96.6,62500,9890402,613993,,19246.0,,,,1763,,592984.0,,United Arab Emirates,71
레바논🇱🇧,LBN,1.4,97.6,79658,6825445,543551,46.0,5333.0,-732.0,67.0,,7825,3.0,530393.0,775.0,Lebanon,25
모로코🇲🇦,MAR,1.8,97.6,14282,36910560,526737,86.0,3595.0,-137.0,107.0,,9244,6.0,513898.0,217.0,Morocco,40
사우디아라비아🇸🇦,SAU,1.6,96.2,13734,34813871,475403,,10584.0,,1489.0,,7691,,457128.0,,Saudi Arabia,53
에콰도르🇪🇨,ECU,4.8,93.0,25346,17643054,446633,192.0,9821.0,181.0,453.0,-3.0,21304,11.0,415508.0,,Ecuador,39
볼리비아🇧🇴,BOL,3.8,80.6,36364,11673021,422811,764.0,65678.0,-1133.0,200.0,,16174,42.0,340959.0,1855.0,Bolivia,31
불가리아🇧🇬,BGR,4.3,93.4,60624,6948445,421152,120.0,9966.0,-260.0,200.0,-7.0,18000,10.0,393186.0,370.0,Bulgaria,44
그리스🇬🇷,GRC,3.0,95.5,40194,10423054,418548,206.0,6111.0,-683.0,283.0,-13.0,12559,17.0,399878.0,872.0,Greece,50
벨라루스🇧🇾,BLR,0.7,98.2,43638,9449323,411551,398.0,4248.0,173.0,,,3063,10.0,404240.0,215.0,Belarus,47
카자흐스탄🇰🇿,KAZ,1.0,94.1,21930,18776707,410523,943.0,20147.0,-148.0,221.0,,4249,7.0,386127.0,1084.0,Kazakhstan,38
파라과이🇵🇾,PRY,2.9,85.0,57408,7132538,407721,1501.0,49332.0,-1296.0,577.0,6.0,11743,110.0,346646.0,2687.0,Paraguay,28
파나마🇵🇦,PAN,1.6,95.7,91650,4314767,394241,514.0,10521.0,30.0,105.0,,6477,2.0,377243.0,482.0,Panama,35
슬로바키아🇸🇰,SVK,3.2,96.6,71693,5459642,391385,59.0,839.0,-36.0,30.0,-5.0,12502,6.0,378044.0,89.0,Slovakia,49
튀니지🇹🇳,TUN,3.7,87.3,32810,11818619,385428,2478.0,34658.0,-1292.0,484.0,60.0,14118,80.0,336652.0,3690.0,Tunisia,44
조지아🇬🇪,GEO,1.4,96.2,90452,3989167,360055,914.0,8639.0,255.0,,,5199,24.0,346217.0,635.0,Georgia,56
크로아티아🇭🇷,HRV,2.3,97.6,87522,4105267,359259,75.0,532.0,-3.0,16.0,-3.0,8188,6.0,350539.0,72.0,Croatia,47
우루과이🇺🇾,URY,1.5,91.7,103192,3473730,356382,1517.0,24195.0,-1905.0,379.0,-16.0,5316,45.0,326871.0,3377.0,Uruguay,71
코스타리카🇨🇷,CRI,1.3,78.6,69810,5094118,354095,3465.0,71340.0,-2689.0,459.0,-13.0,4530,57.0,278225.0,6097.0,Costa Rica,57
쿠웨이트🇰🇼,KWT,0.6,94.2,80301,4270571,340967,1935.0,17797.0,520.0,227.0,23.0,1877,7.0,321293.0,1408.0,Kuwait,42
아제르바이잔🇦🇿,AZE,1.5,98.2,33102,10139177,335521,,959.0,,,,4963,,329599.0,,Azerbaijan,30
도미니카 공화국🇩🇴,DOM,1.2,81.7,29348,10847910,317645,858.0,54238.0,-620.0,465.0,,3758,2.0,259649.0,1476.0,Dominican Republic,28
덴마크🇩🇰,DNK,0.9,97.7,50444,5792202,291956,155.0,4050.0,-468.0,18.0,1.0,2531,,285375.0,623.0,Denmark,88
과테말라🇬🇹,GTM,3.1,90.7,15780,17915568,280854,347.0,17419.0,-454.0,5.0,,8735,41.0,254700.0,760.0,Guatemala,25
리투아니아🇱🇹,LTU,1.6,95.5,102313,2722289,278466,59.0,8129.0,-278.0,49.0,-7.0,4371,4.0,265966.0,333.0,Lithuania,60
이집트🇪🇬,EGY,5.7,74.2,2719,102334404,277797,509.0,55846.0,30.0,90.0,,15898,39.0,206053.0,440.0,Egypt,33
