국가,치명(%),완치(%),발생률,인구수,확진자_합계,확진자1일,치료중_합계,치료중1일,위중증_합계,위중증1일,사망자합계,사망자1일,완치합계,완치1일
브루나이🇧🇳,1.2,95.7,585,437479,256,1,8,,N/A,,3,,245,+1
영국령 버진아일랜드🇻🇬,0.4,84.3,8203,30231,248,,38,,N/A,,1,,209,
도미니카 연방🇩🇲,-,99.0,2653,71986,191,,2,,N/A,,0,,189,
그레나다🇬🇩,0.6,99.4,1431,112523,161,,0,,N/A,,1,,160,
뉴칼레도니아🇳🇨,-,45.0,452,285498,129,,71,,N/A,,0,,58,
앵귈라🇦🇮,-,100,7265,15003,109,,0,,N/A,,0,,109,
포클랜드 제도🇫🇰,-,100,18103,3480,63,,0,,N/A,,0,,63,
마카오🇲🇴,-,96.2,82,649335,53,,2,,N/A,,0,,51,
그린란드🇬🇱,-,80,881,56770,50,1,10,+1,N/A,,0,,40,
바티칸 시국🇻🇦,-,100,33708,801,27,,0,,N/A,,0,,27,
생피에르 미클롱🇵🇲,-,96.2,4487,5794,26,,1,,N/A,,0,,25,
몬트세랫🇲🇸,5,95,4006,4992,20,,0,,N/A,,1,,19,
솔로몬 제도🇸🇧,-,100,29,686884,20,,0,,N/A,,0,,20,
서사하라🇪🇭,10,80,17,597339,10,,1,,N/A,,1,,8,
잔담(크루즈)🚢,22.2,77.8,-,-,9,,0,,N/A,,2,,7,
마셜 제도🇲🇭,-,100,68,59190,4,,0,,N/A,,0,,4,
바누아투🇻🇺,25,75,13,307145,4,,0,,N/A,,1,,3,
사모아🇼🇸,-,100,15,198414,3,,0,,N/A,,0,,3,
세인트헬레나🇸🇭,-,100,329,6077,2,,0,,N/A,,0,,2,
미크로네시아🇫🇲,-,100,9,115023,1,,0,,N/A,,0,,1,
