text
""
두번봤습니다. 그래도 가슴이 벅차오르는 연출 디자인 ost. 오랜만에 제대로 된 영화 한편 찾은것같아 좋네요ㅠ 보시면 정말 후회안합니다
최고의 영화 너무너무 재밌음
정말 재미있습니다!배우들의 연기는 정말 몰입도 최고로 만들어주고스토리가 아주 탄탄해요!패션이라는 소재로 영상미는 말할 것도 없고 OST도 좋습니다.처음부터 끝까지 지루하지 않고 계속 어떻게 될까 궁금해 하다보면 영화가 끝나있어요!!꼭 보세요ㅠㅠ
또 보러가고싶넹
"볼거리는 정말 풍부합니당  시각적 연출이 되게 좋은 듯! 연기는 뭐 두 엠마가 다 했고,,, 스토리는 약간 빤한 감이 없잖아 있지만 디즈니니까용. 굳굳"
"엠마 톰슨의 연기도 좋았지만, 디즈니의 화면 연출도 아름답고, 마지막으로 스토리도 나쁘지는 않았습니다."
표정연기 감정연기 너무 좋았습니다. 1번 더 보고싶어요.
""
엠마스톤에 의한 엠마스톤을 위한 엠마스톤에 대한
엠마들 연기가 탁월하고 강아지가 귀여워요. 스토리는 쏘쏘..
이런 재미있는 영화 너무 오랜만에 본다...꼬옥!!!! 극장가서 봐야할 영화....신과함께처럼 극장 장악력이 엄청나 집에서 보는 것 보다 극장가서 볼 것을 강추 !!
"스토리도 무난하게 흥미로웠고, 무엇보다 연출이랑 영상미가 뛰어났다 배우들 연기까지 대단해서 최근 본 영화 중에 가장 좋았다.. 기대 안했는데 ㄷㄷ"
""
간만에 재밌게봤습니다.기대 1도안했는데 역시 디즈니 그리고 엠마스톤이라는 생각이 절로!
"카메라 무빙과 중간에 나오는 디자인들, 독특한 분장들과 개성있는 대사들이 정말 최고였다.""어 이제 곧 끝난다...아쉽다.. ""할때쯤에 뒤통수를 후려치는 영화.크루엘라라는 인물 자체가 이유없는 분노로 인한 악당이 아닌 환경과 사람이 만들어낸 악당이라는게 부각되어 좋았다.계속해서 무섭고 험악해질 수 있는 분위기를 주변 조연들도 다시 재밌게 만들어주는 밸런스도 잘 맞았다."
너무재미있었어요 스토리 연기 영상미 모두 완벽했습니다!
나만 재미 없던거??!!
101 원작에서 궁금했던 크루엘라. 영화로 모든 것이 다 이해되는 그녀의 캐릭터.
10년이내 본 영화중 최고!!
모두 에스텔라의 감수성과 크루엘라의 천재성으로 나아가길
주인공 캐릭터가 너무 매력있어요 ㅎㅎ
